Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,lat,lon,captial
Iraq,117,4.4970002174,4.6225914097,4.3714090252,1.1027104855,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547,1.3189072609,#N/A,#N/A,#N/A
Gabon,118,4.4650001526,4.5573617657,4.3726385395,1.1982102394,1.1556202173,0.3565785885,0.312328577,0.0437853783,0.0760467872,1.3229162693,#N/A,#N/A,#N/A
Ethiopia,119,4.4600000381,4.5427286766,4.3772713996,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139,2.0157437325,#N/A,#N/A,#N/A
Sri Lanka,120,4.4400000572,4.5534471923,4.3265529221,1.0098501444,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.0736539662,0.4193892479,#N/A,#N/A,#N/A
Armenia,121,4.3759999275,4.4667346123,4.2852652428,0.9005967379,1.0074837208,0.637524426,0.1983032674,0.0834880918,0.0266744215,1.521499157,#N/A,#N/A,#N/A
India,122,4.3150000572,4.3715220175,4.2584780969,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.0922268853,1.5191171169,#N/A,#N/A,#N/A
Mauritania,123,4.2919998169,4.3771636163,4.2068360175,0.6484572887,1.2720308304,0.2853492796,0.096098043,0.2018700242,0.1369570047,1.6516373158,#N/A,#N/A,#N/A
Congo (Brazzaville),124,4.2909998894,4.410053505,4.1719462737,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336,1.7241356373,#N/A,#N/A,#N/A
Georgia,125,4.2859997749,4.3749339658,4.1970655841,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.0540088154,0.2516666353,1.5001378059,#N/A,#N/A,#N/A
Congo (Kinshasa),126,4.2800002098,4.3578108327,4.2021895869,0.0921023488,1.2290234566,0.1914070249,0.2359613478,0.2464558333,0.0602413565,2.2249586582,#N/A,#N/A,#N/A
Mali,127,4.1900000572,4.269670711,4.1103294034,0.4761804938,1.2814733982,0.1693656743,0.3066137433,0.1833541989,0.1049702466,1.6681909561,#N/A,#N/A,#N/A
Ivory Coast,128,4.1799998283,4.2751825632,4.0848170935,0.6030489206,0.9047800303,0.0486421697,0.4477061927,0.2012374699,0.1300617754,1.8449642658,#N/A,#N/A,#N/A
Cambodia,129,4.1680002213,4.2785178135,4.057482629,0.6017650962,1.0062383413,0.4297834039,0.6333758235,0.3859229684,0.068105951,1.0429410934,#N/A,#N/A,#N/A
Sudan,130,4.138999939,4.3457471651,3.9322527128,0.6595166922,1.2140085697,0.2909208238,0.0149958553,0.1823174506,0.08984752,1.6870658398,15.31,32.35,Khartoum
Ghana,131,4.1199998856,4.2227072085,4.0172925626,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.0253363699,1.5778675079,#N/A,#N/A,#N/A
Ukraine,132,4.0960001945,4.1854101045,4.0065902846,0.8946519494,1.3945375681,0.5759039521,0.1229747757,0.2700614631,0.0230294708,0.8143823147,50.3,30.28,Kiev (Russia)
Uganda,133,4.0809998512,4.1957999671,3.9661997354,0.3814307153,1.1298277378,0.2176326066,0.4431859553,0.3257660568,0.0570697188,1.5263626575,0.2,32.3,Kampala
Burkina Faso,134,4.0320000648,4.1240590644,3.9399410653,0.3502277136,1.0432800055,0.2158442587,0.324367851,0.2508646846,0.120328106,1.7272129059,#N/A,#N/A,#N/A
Niger,135,4.0279998779,4.1119468197,3.9440529361,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462,1.8739833832,#N/A,#N/A,#N/A
Malawi,136,3.9700000286,4.0774788174,3.8625212398,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.072711654,2.0817861557,#N/A,#N/A,#N/A
Chad,137,3.9360001087,4.034711524,3.8372886935,0.4380129874,0.9538558722,0.0411347151,0.1623420268,0.2161138505,0.0535818823,2.0712380409,#N/A,#N/A,#N/A
Zimbabwe,138,3.875,3.9786996427,3.7713003573,0.375846535,1.0830959082,0.1967637539,0.336384207,0.1891434938,0.0953753814,1.5979702473,-17.43,31.02,Harare
Lesotho,139,3.8080000877,4.0443439755,3.5716562,0.5210212469,1.1900951862,0,0.3906612992,0.1574972719,0.11909464,1.4298353195,#N/A,#N/A,#N/A
Angola,140,3.7950000763,3.9516419354,3.6383582172,0.8584281802,1.1044119596,0.0498686656,0,0.09792649,0.0697203353,1.6144824028,#N/A,#N/A,#N/A
Afghanistan,141,3.7939999104,3.8736614153,3.7143384054,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.0611578301,2.1508011818,#N/A,#N/A,#N/A
Botswana,142,3.7660000324,3.8741226663,3.6578773986,1.1220941544,1.2215549946,0.3417555094,0.5051963329,0.0993484482,0.0985831991,0.3779137135,#N/A,#N/A,#N/A
Benin,143,3.6570000648,3.7457835513,3.5682165784,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.0609290153,1.8856309652,#N/A,#N/A,#N/A
Madagascar,144,3.6440000534,3.7143191059,3.5736810009,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755,1.584612608,#N/A,#N/A,#N/A
